aticle_id,company,alog_output,,,,,,,
1343,sbi,-1,,,,,,,
1344,sbi,-1,,,,,,,
1345,sbi,1,,,,,,,
1346,sbi,-1,,,,,,,
1347,sbi,1,,,,,,,
1348,sbi,1,,,,,,,
1349,sbi,-1,,,,,,,
1350,sbi,1,,,,,,,
1401,tata,1,,,,,,,
1402,tata,-1,,,,,,,
1403,tata,1,,,,,,,
1404,tata,1,,,,,,,
1405,tata,1,,,,,,,
1406,tata,1,,,,,,,
1407,tata,1,,,,,,,
1408,tata,1,,,,,,,
1409,tata,-1,,,,,,,
1410,tata,1,,,,,,,
1411,tata,1,,,,,,,
1412,tata,1,,,,,,,
1413,tata,1,,,,,,,
1414,tata,-1,,,,,,,
1415,tata,0,,,,,,,
1416,tata,1,,,,,,,
1417,tata,1,,,,,,,
1418,tata,1,,,,,,,
1419,tata,1,,,,,,,
1420,tata,1,,,,,,,
1421,tata,0,,,,,,,
1422,tata,1,,,,,,,
1423,tata,1,,,,,,,
1424,tata,1,,,,,,,
1425,tata,-1,,,,,,,
1426,tata,1,,,,,,,
1427,tata,1,,,,,,,
1428,tata,1,,,,,,,
1429,tata,-1,,,,,,,
1430,tata,1,,,,,,,
1431,tata,1,,,,,,,
1501,sunpharma,1,,,,,,,
1502,sunpharma,-1,,,,,,,
1503,sunpharma,1,,,,,,,
1504,sunpharma,-1,,,,,,,
1505,sunpharma,1,,,,,,,
1506,sunpharma,1,,,,,,,
1507,sunpharma,-1,,,,,,,
1508,sunpharma,-1,,,,,,,
1509,sunpharma,1,,,,,,,
1510,sunpharma,1,,,,,,,
1511,sunpharma,1,,,,,,,
1512,sunpharma,1,,,,,,,
1513,sunpharma,-1,,,,,,,
1514,sunpharma,1,,,,,,,
1515,sunpharma,1,,,,,,,
1516,sunpharma,-1,,,,,,,
1517,sunpharma,1,,,,,,,
1518,sunpharma,1,,,,,,,
1519,sunpharma,1,,,,,,,
1520,sunpharma,0,,,,,,,
1521,sunpharma,1,,,,,,,
1522,sunpharma,-1,,,,,,,
1601,larsen,1,,,,,,,
1602,larsen,1,,,,,,,
1603,larsen,1,,,,,,,
1604,larsen,1,,,,,,,
1605,larsen,0,,,,,,,
1606,larsen,0,,,,,,,
1607,larsen,0,,,,,,,
1608,larsen,0,,,,,,,
1609,larsen,1,,,,,,,
1610,larsen,1,,,,,,,
1611,larsen,1,,,,,,,
1612,larsen,1,,,,,,,
1613,larsen,-1,,,,,,,
1614,larsen,0,,,,,,,
1615,larsen,-1,,,,,,,
1616,larsen,1,,,,,,,
1617,larsen,0,,,,,,,
1618,larsen,1,,,,,,,
1619,larsen,-1,,,,,,,
1701,infosys,1,,,,,,,
1702,infosys,1,,,,,,,
1703,infosys,-1,,,,,,,
1704,infosys,1,,,,,,,
1705,infosys,-1,,,,,,,
1706,infosys,-1,,,,,,,
1707,infosys,-1,,,,,,,
1708,infosys,1,,,,,,,
1709,infosys,-1,,,,,,,
1710,infosys,-1,,,,,,,
1711,infosys,1,,,,,,,
1712,infosys,-1,,,,,,,
