ID,Title,Url,Source,Description,Date,Article
456fcd6a-8bbd-44de-9a12-300784cf29d7,"Stocks in news: Suzlon, Jet, Tata Chem, Infosys, Reliance",http://www.in.com/news/business/stocks-in-news-suzlon-jet-tata-chem-infosys-reliance-52625267-in-1.html,IN,Here are stocks that are in news today: Banking candidates in focus-Deadline for issue of banking license today Bosch India: PTI-Nashik employee union goes on indefinite fast-Workers protest seeking wage revision SEBI to further probe Jet ...,2014-03-31T03:33:36Z,
365902f5-4c50-486d-89e8-40314d9d1e68,Supreme Court asks government to probe $1.08B investment in Reliance Industries,http://www.vccircle.com/news/others/2014/03/27/supreme-court-asks-government-probe-108b-investment-reliance-industries,VC Circle,"According to Indian High Commission in Singapore, a major portion of the investment had come into Reliance Gas Transportation Infrastructure Ltd, which is 100 per cent owned by Mukesh Ambani personally. The Supreme Court has sought a report by ...",2014-03-27T06:44:28Z,
a338ac35-ca7f-4282-9ac7-c06f0cbddea5,Perseverance pays for Mukesh Ambani and his retail foray,http://in.reuters.com/article/2014/03/20/india-relianceretail-mukeshambani-idINDEEA2I0FS20140320,Reuters Group PLC,"The time and cost involved, however, could put off global and local rivals from even trying to copy it. It took Reliance Retail, part of Ambani's conglomerate Reliance Industries Ltd (RELI.NS), seven years of losses, bruising trial-and-error and ...",2014-03-20T04:15:17Z,
733baf21-fc96-4bc5-8fd6-bbe334960e30,Mukesh Ambani’s Reliance Retail set to make profit after 7 years,http://www.livemint.com/Companies/dfxa8g5lmWFvR6iuE4q1xO/Mukesh-Ambanis-Reliance-Retail-set-to-make-profit-after-7-y.html,Live Mint,"It took Reliance Retail seven years of losses, bruising trial-and-error and over $1 billion in investments to find a formula that works for India. Photo: Mint The time and cost involved, however, could put off global and local rivals from even trying to ...",2014-03-20T04:58:14Z,
bdb519e7-ee41-4412-b791-153f9d5522ab,India's BSE marks biggest single day fall in a month,http://www.brecorder.com/market-data/stocks-a-bonds/0/1170348/,Business Recorder,"India's BSE index posted its biggest fall in a month, ending down for a second consecutive session and continuing to retreat from the record high hit in the previous session as investors pared positions in bluechips such as Reliance Industries.",2014-04-05T09:39:54Z,
a3ef2520-036b-4610-8a95-0321c25619e1,"Natural Gas, Wind, and Solar Make Moves Worldwide",http://www.fool.com/investing/general/2014/04/05/natural-gas-wind-and-solar-make-moves-worldwide.aspx,The Motley Fool,"With India's current heavy reliance on coal for power generation, wind energy could potentially provide a much cleaner alternative, and products like General Electric Company's new turbine make that transition more feasible than ever before.",2014-04-05T16:27:55Z,
1b22a219-938e-4fad-a136-902b9fa17e84,"Independence Energy : Members, Witnesses Agree California's Abundant Oil and Natural Gas Reserves Would Create Jobs and Increase Energy Security",http://www.4-traders.com/INDEPENDENCE-ENERGY-CORP-10934106/news/Independence-Energy--Members-Witnesses-Agree-Californias-Abundant-Oil-and-Natural-Gas-Reserves-Wo-18214048/,4 Traders,"""Now there are two common sense ways to reverse the trend towards reliance on foreign oil; the first is through reducing their demand, and California has taken sizeable steps in this direction,"" said Subcommittee Chairman Doug Lamborn (CO-05). ""But the ...",2014-04-05T09:39:54Z,
115a06ab-7a1b-40be-864b-c5862aff256b,"Natural Gas, Wind, and Solar Make Moves Worldwide",http://www.fool.com/investing/general/2014/04/05/natural-gas-wind-and-solar-make-moves-worldwide.aspx,The Motley Fool,"With India's current heavy reliance on coal for power generation, wind energy could potentially provide a much cleaner alternative, and products like General Electric Company's new turbine make that transition more feasible than ever before.",2014-04-05T16:27:55Z,
2e8735a1-dd0c-4709-b260-cdcca5e88262,Report: Close to half of Phoenix-area houses for sale not affordable,http://www.ktar.com/22/1720292/Report-Close-to-half-of-Phoenixarea-houses-for-sale-not-affordable,Ktar,"""These include a greater reliance on non-traditional home financing, smaller down payments and a greater pressure to move further away from urban job centers in order to find affordable housing options.""",2014-04-05T03:34:50Z,
0b53450a-ba1c-4d9c-a7c1-17756cf56360,Washington Banking Declares Quarterly Dividend of $0.14 Per Share,http://finance.yahoo.com/news/washington-banking-declares-quarterly-dividend-200000960.html,Yahoo Finance,"Readers should not place undue reliance on forward-looking statements, which reflect management's views only as of the date hereof. The words ""anticipate,"" ""expect,"" ""will,"" ""believe,"" and words of similar meaning are intended, in part ...",2014-04-04T19:56:42Z,
223e1cf6-39a4-42db-b3a2-497cb70a1d43,Seven Generations Announces Closing of C$633 Million Secondary Offering,http://finance.yahoo.com/news/seven-generations-announces-closing-c-204700950.html,Yahoo Finance,"S. Securities Act of 1933, as amended (the ""US Securities Act""). The shares may not be offered or sold, except to accredited investors in reliance on the exemption from registration provided by Regulation D under the US Securities Act ...",2014-04-04T20:46:48Z,
3b5f8957-0951-42e6-bb7b-def661c6f33c,Golden Dawn Announces the Resignation of Director,http://www.canadianminingjournal.com/press-releases/story.aspx?id=1002998345,Canadian Mining Journal,"Readers should not place undue reliance on forward-looking statements. Except as required by law, the Company does not intend to revise or update these forward-looking statements after the date hereof or to revise them to reflect the occurrence of future ...",2014-04-04T22:55:39Z,
28143c74-1010-4eab-a820-589aa153e547,Nucor : Invites You to Join Its First Quarter of 2014 Conference Call on the Web,http://www.4-traders.com/NUCOR-CORPORATION-13823/news/Nucor--Invites-You-to-Join-Its-First-Quarter-of-2014-Conference-Call-on-the-Web-18213568/,4 Traders,03/27 NUCOR CORPORATION: ex-dividend day 03/26 DJ RELIANCE STEEL & ALUMINUM: Steel Companies Hit with $52 Million in Damages from.. 03/26 DJ RELIANCE STEEL & ALUMINUM: Steel Companies Hit with $52 Million in Damages from..,2014-04-04T21:01:07Z,
7a99de92-f4fb-4a48-b4ce-5980b421d74f,AWI seeks new markets for Australian wool,http://au.news.yahoo.com/thewest/countryman/a/22304362/awi-seeks-new-markets-for-australian-wool/,7 News Yahoo,"Australian Wool Innovation has been working with Vietnamese textile manufacturers in a bid to reduce the Australian wool industry's reliance on China. In a statement from AWI, the Out of Vietnam project has familiarised Vietnamese companies with making ...",2014-04-04T23:45:46Z,
be498c07-a344-4684-9bb5-7da3a2c54c2a,MENA Hydrocarbons Announces Sale of Non-Core Assets and Changes in Board of Directors and Executive Officers,http://www.stockhouse.com/news/press-releases/2014/04/04/mena-hydrocarbons-announces-sale-of-non-core-assets-and-changes-in-board-of,Stockhouse,"As a result, you are cautioned not to place undue reliance on these forward-looking information. Forward-looking information is based on certain factors and assumptions regarding, among other things: the availability of financing on acceptable terms or at ...",2014-04-04T22:41:20Z,
8127bebe-a43b-46fb-abd5-abe3e16ad6bb,Marijuana In The News- AFI (1),http://www.stockhouse.com/blogs/keeping-up-with-market-trends/april-2014/marijuana-in-the-news-afi-(1),Stockhouse,"Although the Company believes that the expectations and assumptions on which the forward-looking statements are based are reasonable, undue reliance should not be placed on the forward-looking statements because the Company can give no assurance that they ...",2014-04-05T00:14:24Z,
73a68d37-6236-467d-b4ff-68b00347dd3e,Supreme Extends Due Diligence Period,http://www.pr-inside.com/supreme-extends-due-diligence-period-r4006136.htm,PR Inside,"Although the Company believes that the expectations and assumptions on which the forward-looking statements are based are reasonable, undue reliance should not be placed on the forward-looking statements because the Company can give no assurance that they ...",2014-04-04T19:35:14Z,
1fd583be-77c1-43e7-ac6f-064866deaec2,Hecla Files Technical Report for Casa Berardi,http://www.cbs8.com/story/25168523/hecla-files-technical-report-for-casa-berardi,News 8 KFMB,"Accordingly, readers should not place undue reliance on forward-looking statements. Forward-looking statements are made as of the date hereof and accordingly are subject to change after such date. Hecla does not undertake to update any forward-looking ...",2014-04-05T06:19:28Z,
6ff84c5d-ae2a-48d6-9c34-cd8ec9879390,"MSC Industrial Direct Co., Inc. Announces Change In Record Date For April 2014 Dividend",http://www.kcentv.com/story/25163039/msc-industrial-direct-co-inc-announces-change-in-record-date-for-april-2014-dividend,KCEN TV,"Readers are cautioned not to place undue reliance on these forward-looking statements, which speak only as of the date hereof. The inclusion of any statement in this release does not constitute an admission by MSC or any other person that the events or ...",2014-04-05T06:19:28Z,
be925fb7-d174-4f8f-a629-6a6fb6bb64ee,Wall Street declines hard on Friday; Nasdaq turns negative in the year,http://www.fxstreet.com/news/forex-news/article.aspx?storyid=c110e848-a1af-4164-8912-610513f3d666,Forex Street,"FXStreet will not accept liability for any loss or damage, including without limitation to, any loss of profit, which may arise directly or indirectly from use of or reliance on such information.",2014-04-04T20:18:11Z,
798d1e2c-2a30-49fe-af19-318a21243125,Ukraine eyes coal after Russian gas price hike,https://uk.finance.yahoo.com/news/ukraine-eyes-coal-russian-gas-105602564.html,Yahoo Finance UK and Ireland,"Energy Minister Yuriy Prodan called the new rate ""political"" and vowed to explore solutions that included a heavier reliance on coal -- a polluting resource whose consumption has imperilled the air quality of nations such as China. ""We are now reviewing ...",2014-04-04T23:24:17Z,
